@type,@context,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,priceString,price,beds,baths,sqft,name,url
GeoCoordinates,http://schema.org,887 Stooping Oak Rd W,Dunlap,TN,37327,680,35.452026,-85.44055,"$141,000",141000,2,1,680,"887 Stooping Oak Rd W, Dunlap, TN 37327",https://www.zillow.com/homedetails/887-Stooping-Oak-Rd-W-Dunlap-TN-37327/42118988_zpid/
GeoCoordinates,http://schema.org,115 Land Loop Rd,Dunlap,TN,37327,964,35.401382,-85.378624,"$61,840",61840,2,1,964,"115 Land Loop Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/115-Land-Loop-Rd-Dunlap-TN-37327/81245223_zpid/
GeoCoordinates,http://schema.org,51B Cardinal Ln #B,Dunlap,TN,37327,850,35.412556,-85.39045,"$139,900",139900,2,1,850,"51b Cardinal Ln #b, Dunlap, TN 37327",https://www.zillow.com/homedetails/51B-Cardinal-Ln-B-Dunlap-TN-37327/90239104_zpid/
GeoCoordinates,http://schema.org,Seq River Seq Bledsoe Line,Dunlap,TN,37327,35.43804,-85.339516,"$440,000",440000,,,,"Seq River Seq Bledsoe Line, Dunlap, TN 37327",https://www.zillow.com/homedetails/Seq-River-Seq-Bledsoe-Line-Dunlap-TN-37327/302793496_zpid/
GeoCoordinates,http://schema.org,264 Stocker Rd,Palmer,TN,37365,912,35.43571,-85.517944,"$113,000",113000,2,1,912,"264 Stocker Rd, Palmer, TN 37365",https://www.zillow.com/homedetails/264-Stocker-Rd-Palmer-TN-37365/42119024_zpid/
GeoCoordinates,http://schema.org,13650 State Route 8,Dunlap,TN,37327,"3,016",35.538853,-85.48968,"$825,000",825000,3,3,3016,"13650 State Route 8, Dunlap, TN 37327",https://www.zillow.com/homedetails/13650-State-Route-8-Dunlap-TN-37327/227066242_zpid/
GeoCoordinates,http://schema.org,1213 Fawn Cir,Dunlap,TN,37327,"1,712",35.393223,-85.47459,"$190,000",190000,2,2,1712,"1213 Fawn Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/1213-Fawn-Cir-Dunlap-TN-37327/42120074_zpid/
GeoCoordinates,http://schema.org,346 Deer Point Dr,Dunlap,TN,37327,"4,161",35.36641,-85.44194,"$968,500",968500,4,4,4161,"346 Deer Point Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/346-Deer-Point-Dr-Dunlap-TN-37327/55727675_zpid/
GeoCoordinates,http://schema.org,1552 Mount Airy Rd,Dunlap,TN,37327,"1,152",35.438606,-85.35857,"$33,000",33000,,1,1152,"1552 Mount Airy Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/1552-Mount-Airy-Rd-Dunlap-TN-37327/42119089_zpid/
GeoCoordinates,http://schema.org,329 Mockingbird Dr,Dunlap,TN,37327,"1,300",35.379707,-85.3952,"$210,000",210000,3,3,1300,"329 Mockingbird Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/329-Mockingbird-Dr-Dunlap-TN-37327/42121944_zpid/
GeoCoordinates,http://schema.org,88 Clover Dale Rd S,Dunlap,TN,37327,"1,400",35.347637,-85.40982,"$329,900",329900,3,1,1400,"88 Clover Dale Rd S, Dunlap, TN 37327",https://www.zillow.com/homedetails/88-Clover-Dale-Rd-S-Dunlap-TN-37327/42122333_zpid/
GeoCoordinates,http://schema.org,2 Lake Trl,Dunlap,TN,37327,35.35668,-85.449814,"$55,000",55000,,,,"2 Lake Trl, Dunlap, TN 37327",https://www.zillow.com/homedetails/2-Lake-Trl-Dunlap-TN-37327/70973123_zpid/
GeoCoordinates,http://schema.org,Mt Airy Rd,Dunlap,TN,37327,35.435806,-85.35667,"$33,000",33000,,,,"Mt Airy Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/Mt-Airy-Rd-Dunlap-TN-37327/302793492_zpid/
GeoCoordinates,http://schema.org,51 Cardinal Ln #B,Dunlap,TN,37327,840,35.352,-85.40635,"$139,900",139900,2,1,840,"51 Cardinal Ln #b, Dunlap, TN 37327",https://www.zillow.com/homedetails/51-Cardinal-Ln-B-Dunlap-TN-37327/2057826254_zpid/
GeoCoordinates,http://schema.org,419 E Ridge Rd LOT 419,Dunlap,TN,37327,"$37,000",37000,5,,,"419 E Ridge Rd Lot 419, Dunlap, TN 37327",https://www.zillow.com/homedetails/419-E-Ridge-Rd-LOT-419-Dunlap-TN-37327/2060593863_zpid/
GeoCoordinates,http://schema.org,31 Two Lake Trl,Dunlap,TN,37327,35.35675,-85.44948,"$55,000",55000,4,,,"31 Two Lake Trl, Dunlap, TN 37327",https://www.zillow.com/homedetails/31-Two-Lake-Trl-Dunlap-TN-37327/2066688859_zpid/
GeoCoordinates,http://schema.org,58 Cardinal Ln,Dunlap,TN,37327,"1,012",35.35235,-85.406654,"$169,900",169900,2,1,1012,"58 Cardinal Ln, Dunlap, TN 37327",https://www.zillow.com/homedetails/58-Cardinal-Ln-Dunlap-TN-37327/42122493_zpid/
GeoCoordinates,http://schema.org,123 Morning Glory Ln,Dunlap,TN,37327,"1,476",35.323795,-85.43196,"$325,000",325000,3,2,1476,"123 Morning Glory Ln, Dunlap, TN 37327",https://www.zillow.com/homedetails/123-Morning-Glory-Ln-Dunlap-TN-37327/70973214_zpid/
GeoCoordinates,http://schema.org,88 Clover Dale Rd N,Dunlap,TN,37327,"1,325",35.347633,-85.409805,"$229,900",229900,3,2,1325,"88 Clover Dale Rd N, Dunlap, TN 37327",https://www.zillow.com/homedetails/88-Clover-Dale-Rd-N-Dunlap-TN-37327/2060876840_zpid/
GeoCoordinates,http://schema.org,344 River Dr,Dunlap,TN,37327,"2,428",35.437157,-85.34206,"$50,000",50000,,1,2428,"344 River Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/344-River-Dr-Dunlap-TN-37327/227067601_zpid/
GeoCoordinates,http://schema.org,1497 Roaring Creek Rd,Dunlap,TN,37327,"1,650",35.368683,-85.45876,"$500,000",500000,3,3,1650,"1497 Roaring Creek Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/1497-Roaring-Creek-Rd-Dunlap-TN-37327/90234754_zpid/
GeoCoordinates,http://schema.org,275 Dogwood Dr,Pikeville,TN,37367,"1,568",35.461727,-85.40164,"$3,500",3500,,,1568,"275 Dogwood Dr, Pikeville, TN 37367",https://www.zillow.com/homedetails/275-Dogwood-Dr-Pikeville-TN-37367/40790471_zpid/
GeoCoordinates,http://schema.org,Bluff View Dr,Dunlap,TN,37327,35.34504,-85.436745,"$6,337",6337,,,,"Bluff View Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Bluff-View-Dr-Dunlap-TN-37327/81255339_zpid/
GeoCoordinates,http://schema.org,Whiteoak Swamps Rd,Dunlap,TN,37327,35.509533,-85.46505,"$27,000",27000,,,,"Whiteoak Swamps Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/Whiteoak-Swamps-Rd-Dunlap-TN-37327/42118709_zpid/
GeoCoordinates,http://schema.org,8174 State Route 399,Dunlap,TN,37327,"2,112",35.467175,-85.46976,"$199,900",199900,3,2,2112,"8174 State Route 399, Dunlap, TN 37327",https://www.zillow.com/homedetails/8174-State-Route-399-Dunlap-TN-37327/42118945_zpid/
GeoCoordinates,http://schema.org,956 Wheeler Rd,Dunlap,TN,37327,"2,900",35.41218,-85.422195,"$130,000",130000,2,2,2900,"956 Wheeler Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/956-Wheeler-Rd-Dunlap-TN-37327/302793504_zpid/
GeoCoordinates,http://schema.org,298 Heard St,Dunlap,TN,37327,"1,092",35.38001,-85.38535,"$40,000",40000,,0,1092,"298 Heard St, Dunlap, TN 37327",https://www.zillow.com/homedetails/298-Heard-St-Dunlap-TN-37327/42121044_zpid/
GeoCoordinates,http://schema.org,186 Lester Cir,Dunlap,TN,37327,"1,350",35.36662,-85.40525,"$280,000",280000,3,2,1350,"186 Lester Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/186-Lester-Cir-Dunlap-TN-37327/60274690_zpid/
GeoCoordinates,http://schema.org,186 Lester Cir,Dunlap,TN,37327,"$280,000",280000,,,,"186 Lester Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/186-Lester-Cir-Dunlap-TN-37327/2062670645_zpid/
GeoCoordinates,http://schema.org,Hester Dr,Dunlap,TN,37327,35.373234,-85.38251,"$305,000",305000,,,,"Hester Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Hester-Dr-Dunlap-TN-37327/42121697_zpid/
GeoCoordinates,http://schema.org,159 Poplar St,Dunlap,TN,37327,"2,195",35.373344,-85.391754,"$115,500",115500,3,2,2195,"159 Poplar St, Dunlap, TN 37327",https://www.zillow.com/homedetails/159-Poplar-St-Dunlap-TN-37327/42121887_zpid/
GeoCoordinates,http://schema.org,38 Kelly St LOT 1,Dunlap,TN,37327,"1,525",35.373917,-85.38193,"$305,000",305000,3,2,1525,"38 Kelly St Lot 1, Dunlap, TN 37327",https://www.zillow.com/homedetails/38-Kelly-St-LOT-1-Dunlap-TN-37327/2062926736_zpid/
GeoCoordinates,http://schema.org,816 Old State Highway 8,Dunlap,TN,37327,936,35.398914,-85.378105,"$80,000",80000,,0,936,"816 Old State Highway 8, Dunlap, TN 37327",https://www.zillow.com/homedetails/816-Old-State-Highway-8-Dunlap-TN-37327/42120749_zpid/
GeoCoordinates,http://schema.org,204 Johnny Wheeler Ln,Dunlap,TN,37327,"2,724",35.322712,-85.40334,"$500,000",500000,5,4,2724,"204 Johnny Wheeler Ln, Dunlap, TN 37327",https://www.zillow.com/homedetails/204-Johnny-Wheeler-Ln-Dunlap-TN-37327/60222982_zpid/
GeoCoordinates,http://schema.org,242 Knight Rd,Dunlap,TN,37327,"1,008",35.39531,-85.4654,"$3,500",3500,,,1008,"242 Knight Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/242-Knight-Rd-Dunlap-TN-37327/42119876_zpid/
GeoCoordinates,http://schema.org,Seq County Line,Dunlap,TN,37327,35.4366,-85.335655,"$88,900",88900,,,,"Seq County Line, Dunlap, TN 37327",https://www.zillow.com/homedetails/Seq-County-Line-Dunlap-TN-37327/299661449_zpid/
GeoCoordinates,http://schema.org,0 Hazel Dr #15,Dunlap,TN,37327,35.367657,-85.40201,"$9,000",9000,1,,,"0 Hazel Dr #15, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Hazel-Dr-15-Dunlap-TN-37327/2062523409_zpid/
GeoCoordinates,http://schema.org,68 Staggs St,Dunlap,TN,37327,"1,920",35.37258,-85.38808,"$190,000",190000,3,2,1920,"68 Staggs St, Dunlap, TN 37327",https://www.zillow.com/homedetails/68-Staggs-St-Dunlap-TN-37327/42122604_zpid/
GeoCoordinates,http://schema.org,4855 Old State Highway 111,Spencer,TN,38585,"1,600",35.616425,-85.45383,"$162,000",162000,3,1,1600,"4855 Old State Highway 111, Spencer, TN 38585",https://www.zillow.com/homedetails/4855-Old-State-Highway-111-Spencer-TN-38585/42546416_zpid/
GeoCoordinates,http://schema.org,109 Morning Glory Ln,Dunlap,TN,37327,"1,455",35.323414,-85.4322,"$310,000",310000,3,2,1455,"109 Morning Glory Ln, Dunlap, TN 37327",https://www.zillow.com/homedetails/109-Morning-Glory-Ln-Dunlap-TN-37327/70973213_zpid/
GeoCoordinates,http://schema.org,4320 Old State Highway 111,Spencer,TN,38585,"1,632",35.60762,-85.44755,"$230,000",230000,,1,1632,"4320 Old State Highway 111, Spencer, TN 38585",https://www.zillow.com/homedetails/4320-Old-State-Highway-111-Spencer-TN-38585/230687829_zpid/
GeoCoordinates,http://schema.org,Walker Branch Rd,Dunlap,TN,37327,35.41547,-85.49604,"$78,000",78000,,,,"Walker Branch Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/Walker-Branch-Rd-Dunlap-TN-37327/42119619_zpid/
GeoCoordinates,http://schema.org,6945 Brockdell Rd,Pikeville,TN,37367,"2,086",35.554935,-85.375786,"$571,000",571000,4,2,2086,"6945 Brockdell Rd, Pikeville, TN 37367",https://www.zillow.com/homedetails/6945-Brockdell-Rd-Pikeville-TN-37367/40793355_zpid/
GeoCoordinates,http://schema.org,Hazel Dr,Dunlap,TN,37327,35.367992,-85.40192,"$9,000",9000,,,,"Hazel Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Hazel-Dr-Dunlap-TN-37327/60274676_zpid/
GeoCoordinates,http://schema.org,406 Stooping Oak Rd,Dunlap,TN,37327,"1,302",35.45954,-85.43759,"$265,000",265000,3,2,1302,"406 Stooping Oak Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/406-Stooping-Oak-Rd-Dunlap-TN-37327/66952606_zpid/
GeoCoordinates,http://schema.org,Green Forest Rd,Dunlap,TN,37327,35.51086,-85.46335,"$20,375",20375,,,,"Green Forest Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/Green-Forest-Rd-Dunlap-TN-37327/62883577_zpid/
GeoCoordinates,http://schema.org,58 Hickory St,Dunlap,TN,37327,"1,080",35.37583,-85.397125,"$75,000",75000,2,1,1080,"58 Hickory St, Dunlap, TN 37327",https://www.zillow.com/homedetails/58-Hickory-St-Dunlap-TN-37327/42121869_zpid/
GeoCoordinates,http://schema.org,3902 Brockdell Rd,Pikeville,TN,37367,35.570038,-85.42048,"$50,000",50000,3,,,"3902 Brockdell Rd, Pikeville, TN 37367",https://www.zillow.com/homedetails/3902-Brockdell-Rd-Pikeville-TN-37367/81035697_zpid/
GeoCoordinates,http://schema.org,38 Hidden Hollow Cir,Dunlap,TN,37327,35.450752,-85.34736,"$32,000",32000,,,,"38 Hidden Hollow Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/38-Hidden-Hollow-Cir-Dunlap-TN-37327/70522949_zpid/
GeoCoordinates,http://schema.org,114 Morning Glory Ln,Dunlap,TN,37327,"1,490",35.32331,-85.43151,"$310,000",310000,3,2,1490,"114 Morning Glory Ln, Dunlap, TN 37327",https://www.zillow.com/homedetails/114-Morning-Glory-Ln-Dunlap-TN-37327/70973216_zpid/
GeoCoordinates,http://schema.org,46 Brush Creek Rd,Dunlap,TN,37327,"1,248",35.398056,-85.366,"$400,000",400000,,1,1248,"46 Brush Creek Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/46-Brush-Creek-Rd-Dunlap-TN-37327/248462681_zpid/
GeoCoordinates,http://schema.org,150 State St W,Dunlap,TN,37327,672,35.376152,-85.39111,"$30,000",30000,,1,672,"150 State St W, Dunlap, TN 37327",https://www.zillow.com/homedetails/150-State-St-W-Dunlap-TN-37327/42121988_zpid/
GeoCoordinates,http://schema.org,3 Way Lane Way,Way,TN,37327,35.3989,-85.3887,"$88,400",88400,,,,"3 Way Lane Way, Way, TN 37327",https://www.zillow.com/homedetails/3-Way-Lane-Way-Way-TN-37327/113399675_zpid/
GeoCoordinates,http://schema.org,26 Hidden Ridge Rd,Dunlap,TN,37327,"2,354",35.327778,-85.40955,"$380,000",380000,3,2,2354,"26 Hidden Ridge Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/26-Hidden-Ridge-Rd-Dunlap-TN-37327/66952794_zpid/
